HOMBRES ,Frecuencia absoluta,Frecuencia acumulada,Frecuencia relativa absoluta,Frecuencia relativa acumulada,Marca de clase,Porcentaje
"(55.857, 61.871]",6,6,0.10526315789473684,0.10526315789473684,58.864000000000004,10.526315789473683
"(61.871, 67.843]",10,16,0.17543859649122806,0.2807017543859649,64.857,17.543859649122805
"(67.843, 73.814]",23,39,0.40350877192982454,0.6842105263157895,70.82849999999999,40.35087719298245
"(73.814, 79.786]",8,47,0.14035087719298245,0.8245614035087719,76.8,14.035087719298245
"(79.786, 85.757]",4,51,0.07017543859649122,0.8947368421052632,82.7715,7.017543859649122
"(85.757, 91.729]",5,56,0.08771929824561403,0.9824561403508771,88.743,8.771929824561402
"(91.729, 97.7]",1,57,0.017543859649122806,1.0,94.7145,1.7543859649122806
