HOMBRES 
63.6
65.9
72.7
86.4
70.5
75.0
68.2
86.4
88.6
62.7
72.7
70.5
69.5
65.9
77.3
79.5
79.5
77.3
81.8
61
77.3
71.4
59.1
84.1
86.4
70.5
77.3
70.5
97.7
68.2
65.9
