MUJERES
63.6
54.5
59.1
62.7
55
56.8
52.7
65.9
68.2
50.9
56.8
59.1
54.5
59.1
59.5
54.5
53.6
56.8
61.4
56.8
53.6
55.5
52.3
46.4
52.3
68.2
50
52.7
49.1
43.2
56.8
60.5
50
68.2
49.1
